SMILES,FRAGMENTS
CCOC1=Nc2cccc(C(O)=O)c2N1Cc1ccc(-c2ccccc2C2NN=NN=2)cc1,263.1283:441.1665:423.1569|263.1281:423.1561:235.0969|207.0907:235.1224:263.1285|207.0909:180.0798:190.0639|207.0904:180.0798:206.0825;263.1294:423.1569:207.0919;263.1296:423.1573:235.1231|263.1295:423.157:441.1672|263.1293:235.1231:207.0917|207.0917:192.0808:210.0914|192.0802:165.07:180.0808|165.07:190.0654:178.0778|165.07:190.0653:152.0622|263.1295:423.1567:441.1672|263.1292:235.123:207.0917|207.0917:192.0808:210.0914|192.0808:165.0699:180.0808|165.07:190.0652:178.0778|165.07:190.0652:152.0622|263.1294:423.157:235.123
CC(C)(C)C(=O)C(N1C=CN=C1)Oc1ccc(Cl)cc1,293.1053:69.07:197.0729;197.0729:225.0677:137.1073|293.1055:197.0723:69.0695|197.0727:293.1051:69.0699|197.0727:69.0699:141.0101|69.0699:141.0101:126.9945|126.9944:69.0699:98.9996|98.9996:139.0057:126.9945|293.1053:197.0726:225.0674|197.0728:293.1054:69.0699|197.0727:69.0699:141.0102|69.0699:141.0102:126.9945|69.0698:126.9944:98.9995|98.9996:139.0057:57.0698|197.0728:225.0677:137.1073
CN1C(c2cccnc2)CCC1=O,177.1023:80.0495:98.0601
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,149.0235:71.0857:167.0341
CCC(C)c1cc(cc(c1O)N(=O)=O)N(=O)=O,NA
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2C2NN=NN=2)cc1,207.0911:429.2402:430.2434|207.0909:195.1484:208.094|207.0912:208.0944:180.0798|207.091:180.0798:208.0942;207.0918:429.2402:195.1494;207.0917:401.2334:195.1492|429.2398:207.0909:401.2333|207.0916:195.1491:429.2394|207.0916:195.149:192.0802|207.0916:180.0806:206.0837|180.0806:205.0759:207.0914|205.0759:180.0807:165.0698|429.2397:207.0913:401.2335|207.0917:195.1492:429.2394|207.0918:195.1492:192.0807|207.0918:180.0807:206.0839|180.0807:205.076:207.0916|205.076:180.0807:152.062|207.0917:401.2333:195.1492
CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,162.055:311.1757:91.0543
CCCCC1=NC(Cl)=C(CO)N1Cc1ccc(-c2ccccc2C2=NNN=N2)cc1,207.0916:405.1589:180.0807;405.1588:377.1528:207.0916|207.0916:235.0978:171.0683|207.0916:180.0807:206.0839|180.0807:206.0838:207.0916|205.0761:180.0807:190.0651|205.076:152.062:165.0698|152.062:205.076:169.0647|152.062:169.0647:150.0464|150.0464:163.0542:63.0229
CCCC1=Nc2c(C)cc(C3=Nc4ccccc4N3C)cc2N1Cc1ccc(-c2ccccc2C(O)=O)cc1,515.2504:516.2518:517.2548|515.2516:516.2518:517.2547|515.2519:497.2376:517.2546|515.2494:497.238:516.2517|276.1393:497.2384:498.2412;515.2449:276.1373:497.2342;497.2335:498.2375:305.1761|515.2444:498.2352:261.1148|515.244:497.233:498.2372|497.2339:276.137:515.2433|276.1373:289.1449:211.0755|276.1374:261.1137:289.1449|261.1137:276.1371:275.1292|515.2443:498.2371|515.2445:497.2336:305.176|497.2342:276.1374:515.2441|276.137:289.145:211.0757|276.1371:261.1137:289.1448|261.1137:276.1372:275.1292|497.234:498.2376:305.1764
CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc1cccc(C)c1,264.0803:183.0918:290.0595;264.0804:349.1332:290.0597|264.0804:290.0596:183.0914|264.0804:183.0918:219.0588|183.0918:264.0804:168.0683|168.0683:183.0918:182.0841|168.0683:183.0918:182.084
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,98.9843:318.9226:208.9534;98.9842:318.9224:208.9533
N1N=NC2=CC=CC=C12,120.0545:121.0582:65.0384|120.0549:65.0384:92.0494;120.0556:65.0387:92.0495;120.0556:92.0495:65.0387;120.0556:92.0494:65.0384|120.0557|120.0556:65.0386:92.0495|120.0556:92.0495:65.0385|120.0556:92.0494:65.0385|120.0556:65.0385:92.0494|120.0556:65.0386:92.0495|120.0556:92.0498|120.0556:65.0384:92.0497|120.0556:65.0385:92.0494|120.0555:92.0494:65.0385|120.0555:65.0385:92.0494|120.0555:65.0386:92.0495|120.0556:92.0494;120.0548:65.0379:92.0486|65.038:120.0546:92.0485|65.0379:39.0217:51.0218;120.0559:92.0498|120.056:92.0497|120.0559:92.0496:65.0386|92.0497:65.0386;92.0493:120.0554|92.0494:65.0384:120.0551
OS(=O)(=O)C1=NC2=CC=CC=C2S1,215.9784:134.0059:152.0165
CC(C)C1=NC(=O)C=C(C)N1,153.1019:154.1044:155.1068|153.1019:154.1044:137.0701|137.07:153.1019:138.0766|137.0698:138.0744:153.1002;153.1022:84.0444:70.0652;153.1023:84.0444:70.0652|153.1022:84.0446:138.0789|153.1022:84.0446:137.0715|153.1022:84.0444:70.0652|153.1022:84.0444:70.0651|84.0444:153.102:70.0651|84.0444:70.0651:153.102|153.1022:84.044:137.0704|153.1022:84.0444:137.0708|153.1022:84.0444:70.0651|153.1022:84.0444:70.0651|84.0444:153.1022:70.0651|84.0444:70.0651:153.1021|153.1022:84.0444:70.0651;153.1026:84.0446:70.0653|84.0445:153.1026:70.0652|153.1026:84.0446:70.0653|84.0445:153.1027:70.0653
CC(C)C1=CC2=C(SC3=CC=CC=C3C2=O)C=C1,255.0839:213.0369:184.0341
SC1=NC2=CC=CC=C2N1,151.0324:93.0573:118.0525
SC1=NC2=CC=CC=C2S1,167.9936:135.0137:124.0215;167.9935:136.0217:92.0495|167.9935:135.0136:92.0494|167.9935:135.0137:124.0216|167.9936:135.0137:124.0216|167.9936:135.0137:124.0216|135.0137:109.0107:124.0216|65.0386:135.0137:109.0107|65.0386:108.0028:68.9793|68.9794:65.0386:108.0028
CCCCCCCCN1SC=CC1=O,102.0009:214.1261:71.0856;102.0008:71.0855|214.126:102.0009:71.0853|214.1261:102.0008:71.0855|102.0007:71.0855:57.0698|102.0008:57.0698:71.0855|102.0008:57.0698:71.0854|102.0008:57.0698:83.9904|214.1261:102.0008:71.0854|214.1261:102.0008:71.0855|102.0008:214.1259:71.0855|102.0008:57.0698:71.0855|102.0008:57.0698:71.0855|102.0008:57.0698:83.9903|102.0008:71.0855
CCCCNC(=O)OC#CCI,164.9198:57.0701:55.0181
