SMILES,CAS_RN,DTXSID,FRAGMENTS,All,chlorinated,frag_list,n_fragments
c12c(scn1)cccc2,CAS_RN: 95-16-9,DTXSID7024586,136.0208:137.0239:138.015;136.0214:109.0106:65.0388;136.0216|136.0217|136.0217|136.0217:109.0108|136.0217:109.0107:77.0387|136.0217:109.0108:77.0387|136.0216|136.0217|136.0217|136.0217:109.0107|136.0217:109.0108:77.0386|136.0217:109.0108:65.0386;136.0219:109.011:105.0338|136.0219:109.011:77.0388|136.0219:105.0337,0,0,"[65.0386, 65.0388, 77.0386, 77.0387, 77.0388, 105.0337, 105.0338, 109.0106, 109.0107, 109.0108, 109.011, 136.0208, 136.0214, 136.0216, 136.0217, 136.0219, 137.0239, 138.015]",18
O=c1c(Cl)c(Cl)sn1CCCCCCCC,CAS_RN: 64359-81-5,DTXSID5032315,169.9228:282.0482:71.0856;169.9232|282.0483:169.9231:71.0854|169.923:282.048:71.0856|169.9231:57.0699:71.0856|169.9231:57.0699:71.0856|169.9229:134.954:57.0698|169.9227:134.9539:126.917|282.0481:169.9229:71.0854|169.923:282.0482:71.0855|169.923:57.0698:71.0855|169.9229:57.0698:71.0855|169.9227:57.0698:134.9539|169.9229:134.954:126.917|169.923,0,1,"[57.0698, 57.0699, 71.0854, 71.0855, 71.0856, 126.917, 134.9539, 134.954, 169.9227, 169.9228, 169.9229, 169.923, 169.9231, 169.9232, 282.048, 282.0481, 282.0482, 282.0483]",18
c1(nc(nc(n1)OC)NCC)NC(C)(C)C,CAS_RN: 33693-04-8,DTXSID1042445,170.1039:114.0667:142.0719|226.1665|226.1664:170.1038|170.1039:226.1664:142.0724|170.1039:142.0725:114.0663|170.1035:142.0724:100.0506|100.0506:69.0084:75.0553|226.1664:170.1037|226.1665:170.1039|170.1039:226.1664:142.0724|170.1038:142.0725:114.0663|170.1037:142.0724:100.0506|100.0506:69.0084:75.0553|170.1038:114.0662:226.167,0,0,"[69.0084, 75.0553, 100.0506, 114.0662, 114.0663, 114.0667, 142.0719, 142.0724, 142.0725, 170.1035, 170.1037, 170.1038, 170.1039, 226.1664, 226.1665, 226.167]",16
CCNC1=NC(O)=NC(NC(C)(C)C)=N1,CAS_RN: 66753-07-9,DTXSID20216888,212.15:156.0869:213.1528|156.0872:157.0892:212.1499|156.0872:114.0658:128.0557|156.0871:114.0655:128.0557|156.0867:114.0671:128.0554;128.0261:99.0553:126.0105;156.088:86.0348:170.1039|212.1505:156.0879|212.1506:156.088:86.0349|156.0879:212.1503:86.0349|156.0879:114.0661:86.0349|156.0879:86.0349:114.0662|69.0084:86.0349:114.0662|212.1506:156.088|212.1504:156.0879:57.0697|156.088:212.1505:86.0349|156.0879:114.0661:86.0349|156.088:86.0349:114.0662|69.0083:86.0349:114.0661|156.088:86.0349:170.1037,0,0,"[57.0697, 69.0083, 69.0084, 86.0348, 86.0349, 99.0553, 114.0655, 114.0658, 114.0661, 114.0662, 114.0671, 126.0105, 128.0261, 128.0554, 128.0557, 156.0867, 156.0869, 156.0871, 156.0872, 156.0879, 156.088, 157.0892, 170.1037, 170.1039, 212.1499, 212.15, 212.1503, 212.1504, 212.1505, 212.1506, 213.1528]",31
O=S(O)(CC(N(C(C)COC)C1=C(CC)C=CC=C1C)=O)=O,CAS_RN: 171118-09-5,DTXSID1037567,330.1367:298.11:299.1141|298.1108:300.1098:202.1223|298.1102:202.1213:160.111|202.1215:160.111:176.1421|160.1106:174.1267:202.1217;298.111:202.1227:330.1372;298.1108|298.1104:330.1367|298.1105:202.1234:73.0649|298.1106:202.1224:160.112|202.1225:160.112:174.1276|160.1119:202.1225:174.1276|160.112:145.0885:174.1279|298.1105:330.1367|298.1106:202.1227:73.0648|298.1105:202.1225:160.1121|202.1225:160.112:174.1275|160.112:202.1226:174.1277|160.112:145.0885:174.1276|298.1107,0,0,"[73.0648, 73.0649, 145.0885, 160.1106, 160.111, 160.1119, 160.112, 160.1121, 174.1267, 174.1275, 174.1276, 174.1277, 174.1279, 176.1421, 202.1213, 202.1215, 202.1217, 202.1223, 202.1224, 202.1225, 202.1226, 202.1227, 202.1234, 298.11, 298.1102, 298.1104, 298.1105, 298.1106, 298.1107, 298.1108, 298.111, 299.1141, 300.1098, 330.1367, 330.1372]",35
COCCOCCOC,CAS_RN: 111-96-6,DTXSID1024621,103.0754:59.0491|103.0752:59.0491:135.1012|103.0753:59.0491:135.1017|59.0491:103.0753|59.0491:103.0753|59.0491:103.0753|59.0491|103.0753:59.0491:135.1016|103.0753:59.0491:135.1016|59.0491:103.0753|59.0491:103.0752:135.1022|59.0491:103.075|59.0491:135.101|103.0754:59.0492:135.1013,0,0,"[59.0491, 59.0492, 103.075, 103.0752, 103.0753, 103.0754, 135.101, 135.1012, 135.1013, 135.1016, 135.1017, 135.1022]",12
COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,CAS_RN: 102625-70-7,DTXSID4023416,138.055:200.0378:153.0785;200.0378:138.0551:168.0654|200.0376:138.055:384.082|138.055:200.0376:153.0784|138.055:200.0375:107.0729|138.055:200.0377:152.0706|138.0549:136.0392:152.0704|138.0549:136.0392:110.0601|200.0376:138.0548:384.0821|138.0549:200.0375:153.0784|138.0549:200.0375:122.06|138.0549:200.0374:152.0705|138.0549:136.0392:152.0705|138.0549:136.0392:110.06|200.0376:138.0548:168.0653,0,0,"[107.0729, 110.06, 110.0601, 122.06, 136.0392, 138.0548, 138.0549, 138.055, 138.0551, 152.0704, 152.0705, 152.0706, 153.0784, 153.0785, 168.0653, 168.0654, 200.0374, 200.0375, 200.0376, 200.0377, 200.0378, 384.082, 384.0821]",23
CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,CAS_RN: 93413-69-5,DTXSID6023737,278.2126:260.2011:279.2154|260.2006:278.2126:215.1427|121.0639:147.0792:173.0949|121.0643:147.0797:173.0954|121.0643:159.0789:132.056;58.0653:278.2118:260.2013;260.2014:215.1432:121.0643|278.2118:260.2016:58.0651|58.0652:260.2012:278.212|58.0652:121.065:215.1432|58.0652:121.065:147.0807|58.0652:121.0649:147.0805|58.0652:121.065:91.0544|278.212:260.2011:58.0651|58.0652:260.2012:278.2121|58.0652:121.0649:215.1432|58.0652:121.0649:147.0806|58.0652:121.0649:147.0806|58.0652:121.0649:91.0543|260.2011:215.1431:121.0647;278.2119:260.2013:58.0656|58.0656:260.2014:215.1436|58.0656:121.065:147.0808|58.0656:121.065:147.0807|58.0656:121.065:91.0544;58.0653:278.212:260.2014|58.0652:121.0646:215.1431|58.0652:121.0646:91.0541,0,0,"[58.0651, 58.0652, 58.0653, 58.0656, 91.0541, 91.0543, 91.0544, 121.0639, 121.0643, 121.0646, 121.0647, 121.0649, 121.065, 132.056, 147.0792, 147.0797, 147.0805, 147.0806, 147.0807, 147.0808, 159.0789, 173.0949, 173.0954, 215.1427, 215.1431, 215.1432, 215.1436, 260.2006, 260.2011, 260.2012, 260.2013, 260.2014, 260.2016, 278.2118, 278.2119, 278.212, 278.2121, 278.2126, 279.2154]",39
S(c1ccc(N)cc1)(O)(=O)=O,CAS_RN: 121-57-3,DTXSID6024464,156.0113:93.0573:94.0651|174.022:93.0573:156.0113|93.0573:174.022:156.0114|93.0573:174.0219:108.0444|93.0573:174.022:108.0444|93.0573:92.0494:108.0443|93.0573:92.0495:65.0386|174.0219:93.0573:156.0114|93.0573:174.0219:156.0113|93.0573:174.0219:108.0444|93.0573:174.022:108.0444|93.0573:92.0495:108.0444|93.0573:92.0495:65.0386|156.0114:93.0573:94.0652,0,0,"[65.0386, 92.0494, 92.0495, 93.0573, 94.0651, 94.0652, 108.0443, 108.0444, 156.0113, 156.0114, 174.0219, 174.022]",12
OS(C1=CC2=C(C=CC=C2)C=C1)(=O)=O,CAS_RN: 120-18-3,DTXSID5044788,128.062:191.0162:145.0648|209.0267:128.062:191.0164|128.062:209.0266:155.0603|128.062:155.0604:145.065|128.062:155.0603:103.0543|128.062:155.0603:103.0541|128.062:155.0603:127.0542|209.0265:128.062:155.0599|128.0619:209.0265:155.0602|128.0619:155.0602:145.0647|128.0619:155.0602:145.0646|128.062:155.0603:127.0542|128.0619:155.0602:127.0542|128.062:191.016:145.0648,0,0,"[103.0541, 103.0543, 127.0542, 128.0619, 128.062, 145.0646, 145.0647, 145.0648, 145.065, 155.0599, 155.0602, 155.0603, 155.0604, 191.016, 191.0162, 191.0164, 209.0265, 209.0266, 209.0267]",19
